artista,musica,tom,sequencia
ed-sheeran,i-see-fire,G,Em;C;D;Em;Em;G;D;C;Em;G;D;Am7;Em;G;D;C;Am7;G/B;C;Em;C;D;Em;Em;G;D;C;Em;G;D;Am7;Em;G;D;C;Am7;G/B;C;Am7;G/B;C;Em7;C9;D4;Em7;C9;D4;Em7;C9;D4;Em7;C9;D4;A7(4);Em;C;D;Em;Em;G;D;C;Em;G;D;Am7;Em;G;D;C;Am7;G/B;C;Am7;G/B;C;Em7;C9;D4;Em7;C9;D4;Em7;C9;D4;Em7;C9;D4;A7(4);Am7;Em;G;D;Am7;Em;G;D;Am7;Em;G;D;Am7;G/B;C;D;Em7;C9;D4;Em7;C9;D4;Em7;C9;D4;Em7;C9;D4;Em7;Em7;C9;D4;Em7;C9;D4;Em7;C9;D4;Em7;C9;D4;A7(4);Em;C;D;Em;Em;C;D;Em;Em;G;D;C;Em;G;D;Am7;Em;G;D;C;Am7;G/B;C;Em;G;D;C;Em;G;D;Am7;Em;G;D;C;Am7;G/B;C;Am7;G/B;C;Em;C;D;Em
ed-sheeran,photograph,E,E;C#m7;B4;A9;E;C#m7;B4;A9;E;C#m7;B4;A9;C#m7;A9;E;B4;C#m7;A9;E;B4;E;B4;C#m7;A9;E;C#m7;B4;A9;E;C#m7;B4;A9;C#m7;A9;E;B4;C#m7;A9;E;B4;E;B4;C#m7;A9;E;B4;C#m7;A9;C#m7;A9;E;B4;E;B4;C#m7;A9;E;B4;C#m7;A9;E;B4;C#m7;A9
ed-sheeran,the-a-team,G,EM7;C9;G;G;D/F#;Em7;C9;G;G;D/F#;Em7;C9;G;Am7;C9;G;D/F#;Am7;C9;G;D/F#;Em7;C9;G;Em7;C9;G;Em7;C9;G;D/F#;Em7;C9;G;D/F#;Em7;C9;G;D/F#;Em7;C9;G;G;D/F#;Em7;C9;G;G;D/F#;Em7;C9;G;Am7;C9;G;D/F#;Am7;C9;G;D/F#;Em7;C9;G;Em7;C9;G;Em7;C9;G;D/F#;Em7;C9;G;D4/F#;Em7;Am7;C9;Em7;G;D/F#;Am7;C9;Em7;C9;G;D/F#;Am7;C9;G;D4/F#;Am7;C9;G;D4/F#;Em7;C9;G;Em7;C9;G;Em7;C9;G;D/F#;Em7;C9;G;D/F#;Em7;C9;G;D/F#;Em7;C9;G;D4/F#;Em7;C9;G;Em7;C9;G;D4/F#;G
ed-sheeran,thinking-out-loud,D,D;D/F#;G;A;D;D/F#;G;A;D;D/F#;G;A;D;D/F#;G;A;D;D/F#;G;A;D;D/F#;G;A;D;D/F#;G;A;D;D/F#;G;A;Em;A7;D;Em;A7;Em;A7;Bm;Em;A7;D;D/F#;G;A;D;D/F#;G;A;D;D/F#;G;A;D;D/F#;G;A;Bm;A;G;D/F#;Em;A7;D;D;D/F#;G;A;D;D/F#;G;A;D;D/F#;G;A;D;D/F#;G;A;D;D/F#;G;A;D;D/F#;G;A;D;D/F#;G;A;D;D/F#;G;A;Em;A7;D;Em;A7;Em;A7;Bm;Em;A7;D;D/F#;G;A;D;D/F#;G;A;D;D/F#;G;A;D;D/F#;G;A;Bm;A;G;D/F#;Em;A7;D;D;D/F#;G;A;D;D/F#;G;A;D;D/F#;G;A;D;D/F#;G;D;D/F#;G;A;Bm;A;G;D/F#;Em;A7;D;Bm;A;G;D/F#;Em;A7;D;Bm;A;G;D/F#;Em;A7;D;D;D/F#;G;A;Em;A7;D;Em;A7;Em;A7;Bm;Em;A7;D;D/F#;G;A;Bm;A;G;D/F#;Em;A7;D
edcity,traira-,G#,G#;Cm;C#;D#7/9;G#;F7/9;Bbm;D#;G#;Bbm;G#;F7/9;Bbm;D#;G#;C#;Cm;C#;D#;G#;Bbm;G#;F7/9;Bbm;D#
edu-ribeiro-cativeiro,me-namora,G,G7M;C7M;G7M;C7M;G7M;C7M;G7M;C7M;G7M;C7M;G7M;C7M;G7M;C7M;G7M;C7M;G7M;C7M;G7M;C7M;G7M;C7M;G7M;C7M;G7M;C7M;G7M;C7M;G7M;G7M;C7M;G7M;C7M;G7M;C7M;G7M;C7M;G7M;C7M;G7M;C7M;G7M;C7M;G7M;C7M;G7M;G7M
eduardo-costa,a-carta,G,G;D;C;Am;D;G;D;C;Am;D;G;G7;C;G;Am;D;G;G7;C;G;Am;D;G;D;G;D;C;Am;G;D;G;D;C;Am;G;D;G;D;C;C;Am;D;G;D;C;C9;Am;D;G;G7;C;G;Am;D;G;G7;C;G;Am;D;G;G;D;C;Am;G;D;G;D;C;Am;G;D
eduardo-costa,agenda-rabiscada,C,C;C;G;Dm;G;Dm;G;Dm;G;C;F;C;Dm;G;C;G;F;C;G;F;C;G;F;C;G;F;C
eduardo-costa,amor-de-violeiro,G,C;F;C;F;C;C;G;F;C;G;C;G;F;C;G;F;C;G;F;C;C7;G;F;C;G;F;C;F;G;C;F;C;G;F;C;G;F;C;G;F;C;C7;F;G;C;F;C
eduardo-costa,enamorado,D,D;A;Bm;G;Bm;G;D;A;Bm;G;D;A;Bm;G;D;A;Bm;G;D;A;Em;D/F#;G;D;A;Bm;G;D;A;Bm;A;G;Bm;G;D;A;Bm;G;D;A;G;A;G;Bm;G;D;A;Bm;G;D;A;Bm;G;D;A;Bm;G;D;A;Em;D/F#;G;D;A;Bm;G;D;A;Bm;A;G;Bm;G;D;A;Bm
eduardo-costa,me-apaixonei,E,A;E;A;E;B;A;E;A;E;E;A;E;A;E;A;E;B/D#;A/C#;E;E;B/D#;A/C#;E;A;E;A;E;B;A;E;B;A;E;A;E;B/D#;A/C#;E;E;B/D#;A/C#;E;A;E;A/B;E;A;E;B;E;B;A;E;A;E;E;A;E;A;E;A;E;B/D#;A/C#;E;E;B/D#;A/C#;E;A;A;E
eduardo-costa,os-dez-mandamentos-do-amor,D,D;A;Em;A;D;D;A;Em;A;D;D;Em;A;D;Bm;A;G;A;D;Em;A;D;Bm;A;G;A;D;D#º;Em;A;D;Em;A;D;Bm;A;G;A;D;D;Em;A;D;Bm;A;G;A;D;D;D#º;Em;A;D;A;Em;A;D;D;A;Em;A;D;D;Em;A;D;Bm;A;G;A;D;Em;A;D;Bm;A;G;A;D;D#º;Em;A;D;Em;A;D;Bm;A;G;A;D;D;Em;A;D;Bm;A;G;A;D;D;D#º;Em;A;D;A;Em;A;D;D;A;Em;A;D;C;G/B;A;D
eduardo-costa,sapequinha,D,Bm;Em;Bm;F#;Bm;G;A;Bm;G;A;Bm;Bm;G;A;Bm;G;A;F#;Bm;G;A;Bm;G;A;Bm;G;A;F#;Bm;G;A;Bm;G;A;Bm;Bm;G;A;Bm;G;A;F#;Bm;G;A;Bm;G;A;Bm;G;A;F#;Bm;G;A;Bm;G;A;Bm;G;A;F#;Bm;G;A;Bm;G;A;F#;Bm;G;A;Bm;G;A;Bm;G;A;F#;Bm;G;A;Bm;G;A;Bm;G;A;Bm;G;A;Bm
edward-sharpe-and-the-magnetic-zeros,home,D,G
elaine-martins,santificacao,A#,Gm;Eb;Bb;F;G;G/A#;Gm;Eb;Bb;F;Gm;Eb;Bb;F;Gm;Eb9;Cm7;D;Gm;F;Eb6;D;Gm;F;Eb6;D;Eb;D;Gm;F;Eb9;D;Gm;F;Cm7;D;Gm;Eb9;Bb;F;Gm;Eb9;Bb;F;Gm;Eb9;Bb;F;Gm;Eb9;Bb;D;Gm;Eb9;Bb;F;Gm;Eb;Bb;F;Gm;Eb9;Cm;D;Gm;Eb9;Bb;D4;D;Gm;Eb9;Bb;D;Gm;Gm;Eb9;Bb;D4;D;A;G#m;E9;B;F#;G#m;E9;B;F#;G#m;G#m;E9;B;F#;G#m;G#m;E9;B;F#;G#m;G#m;E9;B;F#;G#m;G#m;B;F#;G#;A#;B;E;F#;B;G#m;E9;B;F#;G#m;E9;B;D#;G#m;G#m;E9;B;F#;G#m;E9;B;F#;C#;B;A#;F#;G#
eli-soares,amor-de-pai,G,Bb7M;Am7M;C9;D9;Bb7M;C9;D9;G5;D5/A;G5;D5/A;G5;D5/A;C2;D5/A;Bm7;A9;G5;Bm7;A9;G5;Bm7;A9;G5;Bm7;A9;B9;A;D5/A;A9;Em;E/G#;G;A;D5/A;C9;Em;Gm7
eli-soares,me-ajudar-a-melhorar,E,F#m7(11);C#m7(9);F#m7(11);G#m7;A7M(9);F#m7(11);G#m7;A7M(9);F#m7(11);G#m7;A7M(9);G#m7;A9;G#m7;F#m7(11);C#m7(9);A9;G#m7;F#m7(11);C#m7(9);F#m7(11);C#m7(9);F#m7(11);G#m7;A7M(9);F#m7(11);G#m7;A7M(9);F#m7(11);G#m7;A7M(9);G#m7;A9;G#m7;F#m7(11);C#m7(9);A9;G#m7;F#m7(11);C#m7(9);A9;G#m7;F#m7(11);C#m7(9);A9;G#m7;F#m7(11);C#m7(9)
eli-soares,meu-amanha,C,Em7;F7M;C9;F7M;Dm;C9;F7M;G4;G;C9;F7M;Dm;C9;F7M;G4;G;Em7;F7M;Dm;C9;G4;G;C9;G4;G;Am;Csus;F7M;Dm7;Bb9;G;Em7;F7M;Em7;F7M;Csus;C4/7/9
eliana-ribeiro,forca-vitoria,D,Bm7/4;Bm7;A/B;A13;A;Em7;F#4;F#7;Em;A;D7+;A/C#;Bm;Em;F#;Bm;Em;Em/D;A/C#;D7+;A/C#;Bm7;C#m7(b5);F#;Bm;A/C#;B/Eb;B7;Em;Em/D;A/C#;D7+;D/F#;G7+;C#m7(b5);F#;Bm7;Em;A;D7+;A/C#;Bm;Em;F#;Bm;Em;A;Bm;Bm7/4;Bm7;A/B;A13;A;Em7;F#4;F#7
eliana-ribeiro,gloria-deus-nas-alturas,G,D;C;D;C;G;D;C;G;D;Am;D;Am;D;Am;D;Am;D;C;G;D;C;G;D;C;G;D;Am;G;C;D;Am;G;C;D;Am;G;C;D;Am7;D;Am7;D;C;D;E;A;G;D;G;D;G;D;G;D
elis-regina,como-nossos-pais,G,Bm7;E;A;A/C#;D;D4;Bm7;E;A;A/C#;D;D/F#;D/A;D;G;A;A/C#;D;A4;A7;D;D/F#;D;D7;G;A;A/C#;D;G;C7/9;D;B7;Em;A7;D;D/F#;G;C7/9;D;B7;Em;A7;D;D/F#;G;E/G#;A4/7;A7;D;D/F#;G;D;D/F#;G;D;D/F#;G;E/G#;A4/7;A7;D;G;D;G;D;D/F#;G;E/G#;A7;D;D/F#;G;E/G#;A4/7;A7;D;D/F#;G;D;D/F#;G;D;D/F#;G;E/G#;A4/7;A7;D;G;D;G;D;D/F#;G;E/G#;A;D;D/F#;G;E/G#;A4/7;A7;D;D/F#;G;D;D/F#;G;D;D/F#;G;E/G#;A4/7;A7;D;G;D;G;D;D/F#;G;D;D/F#;G;D;D/F#;G;E/G#;G;D/F#;Em;A7;D
ellie-goulding,love-me-like-you-do,G,G;G/B;Em7;C9;D4;Em7;G;G/B;Em7;C9;D4;Em7;G;G9/B;Em7;C9;D4;Em7;G;G9/B;Em7;C9;Am7;Em7;D4;D;G;G9/B;Em7;C9;D4;Em7;G;G9/B;Em7;C9;D4;Em7;G;G9/B;Em7;C9;Am7;Em7;D4;D;G;G9/B;Em7;C9;Am7;Em7;D4;D;G;G/B;Em7;G;G/B;Em7;C9;D4;Em7;G;G9/B;Em7;C9;Am7;Em7;D4;D;G;G9/B;Em7;C9;Am7;Em7;D4;D;G;G9/B;Em7;C9;G;G/B;Em7;C9;D4;Em7;G;G/B;Em7;G;G/B;Em7;C9;D4;Em7
emicida,passarinhos,E,B;E;Em;B;Em7;A7;B;E;Em;B;Em7;B;E;Em;B;E;Em;B;E;Em;B;Em7;B;E;Em;B;Em7;A7;B;E;Em;B;Em7;A7;B;B;B;B;B;E;Em;B;Em7;A7;B;E;Em;B;E;Em;B;E;Em;B;E;Em;B;E;Em;B;E;Em;B;E;Em;B;Em7;B;E;Em;B;Em7;A7;B;E;Em;B;Em7;A7;B;B;B;B;B;E;Em;B;Em7;A7;B;E;Em;B;Em7;A7;A
emilio-santiago,saigon,D,D7M;D7M(#5);D7M(6);D7M(#5);D7M;D7M(#5);D7M(6);D7M(#5);D7M;D7M(#5);D7M(6);D7M(#5);F#m7(b5);B7(b9);Em(7M/9);Em7(9);A7(4/9);A7(9);D7M;A7(4/9);D7M;D7M(#5);D7M(6);D7M(#5);F#m7(b5);B7(b9);Em(7M/9);Em7(9);A7(4/9);A/G;F#7(#5);B7(b9);Gm7;C7(9);F7M;Bb7M;A7(4/9);A7(9);D7M;D7(b9);Gm7;C7(9);F7M;Bb7M;A7(4/9);D7M;D7M(#5);D7M(6);D7M;Em7;F#m7;G7M;G6;G#m7(b5);C#7(b9);C7M;B7(4);B7;Em7;F#m7;G7M;F#m7;Em7;A7(4/9);D7M;D7M(#5);D7M(6);D7M;Em7;F#m7;G7M;G6;G#m7(b5);C#7(b9);C7M;B7(4);B7;Em7;F#m7;G7M;F#m7;Em7;A7(4/9);D7M;D7M(#5);D7M(6);D7M(#5)
engenheiros-do-hawaii,3x4,E,E;B5(9);C#m;E;G#;A5(9);A#°;E;G#;A5(9);A#°;E;B5(9);C#m;E;G#;A5(9);A#°;E;G#;A5(9);A#°;E;B5(9);C#m;A5(9);B5(9);C#m;A5(9);B5(9);C#m;F#m;G#;E;B5(9);C#m;E;G#;A5(9);A#°;E;G#;A5(9);A#°;B5(9);E;B5(9);C#m;A5(9);B5(9);C#m;A5(9);B5(9);C#m;F#m;G#;E;B5(9);C#m
engenheiros-do-hawaii,ate-fim,G,G;Em7;Bm;D;G;Em7;Bm;D;G;Em7;Bm;D;G;Em7;A;C;G;Em7;Bm;D;C;D;C;D;C;D;Em;Em9;Em;C;D;C;D;C;D;Em;Em9;Em;C;D;G;G;Em;Bm;A;G;Em7;Bm;D;G;Em7;Bm;D;G;Em7;A;C;G;Em7;Bm;D;C;D;C;D;C;D;Em7;C;D;C;D;C;D;Em;Em9;Em;C;D;G;G;Em7;Bm;D;G;Em7;Bm;D;G;Em7;Bm;D
engenheiros-do-hawaii,dom-quixote,A,A;A5(9);A;D5(7M/9);D5(9);D5(7M/9);A;A5(9);A;D5(7M/9);D5(9);D5(7M/9);A;A5(9);A;D5(7M/9);D5(9);A;A5(9);A;D5(7M/9);D5(9);D5(7M/9);A;A5(9);A;D5(7M/9);D5(9);A;A5(9);A;D5(7M/9);D5(9);D5(7M/9);A;A5(9);A;D5(7M/9);D5(9);D5(7M/9);A;A5(9);A;D5(7M/9);D5(9);A;A5(9);A;D5(7M/9);D5(9);D5(7M/9);A;A5(9);D5(7M/9);D5(9);Bm;D5;A;C#7;F#m;F#m/E;D5;A;C#7;F#m;F#m/E;D5;Bm;E;F#m;D;F#m;F#m/E;D;Bm;D;Bm;E;A;C#7;F#m;F#m/E;D5;A;C#7;F#m;F#m/E;D5;Bm;E
engenheiros-do-hawaii,era-um-garoto-que-como-eu-amava-os-beatles-os-rolling-stones,F#,F;C;Bb;C;F;C;Bb;C;F;C;Bb;C;F;C;Bb;C;F;Bb;C;F;Bb;G;C;F;Ab;Bb;B;C;F;Ab;Bb;B;C;Bb;F;Bb;A;Bb;C;F;Bb;C;F;C;F;C;Bb;C;F;C;Bb;C;F;C;Bb;C;F;C;Bb;C;F;Bb;C;F;Bb;G;C;F;Ab;Bb;B;C;F;Ab;Bb;B;C;Bb;F;Bb;A;Bb;C;F;Bb;C;F;C
engenheiros-do-hawaii,eu-que-nao-amo-voce,G,Em;C;G;D;Em;C;G;D;Em;C;G;D;Am;G;Am;G;Em;A;Am;C;G;Am;C;D;Em;C;G;D;Em;C;G;D;Am;G;Am;G;Em;A;Am;C;G;Am;C;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em;Am;G;Em;Am;Am;C;G;Am;C;D;Em;Am;G;Em
engenheiros-do-hawaii,infinita-highway-,A,A5;C#5;D5;E5;A5;C#5;D5;E5;A5;C#5;D5;E5;E5;A5;C#5;E5;A5;C#5;E5;A5;C#5;E5;A5;C#5;E5;D5;E5;F#m;D5;E5;F#m;D5;E5;A;C#m/G#;F#5;D5;E;A5;C#5;D5;E5;A5;C#5;E5;A5;C#5;E5;A5;C#5;E5;A5;C#5;E5;D5;E5;F#m;D5;E5;F#m;D5;E5;A;C#m/G#;F#m;D5;E;A5;C#5;D5;E5;A5;C#5;E5;A5;C#5;E5;A5;C#5;E5;A5;C#5;E5;D5;E5;F#m;D5;E5;F#m;D5;E5;A5;C#5;F#m;D5;E5;A5;C#5;D5;E5;A5;C#5;D5;E5;A5;C#5;D5;E5;A5;C#5;D5;E5;A5;C#5;D5;E5;A5;C#5;D5;E5;A5;C#5;D5;E5;D;E;F#m;D;E;A;C#m;F#m;D;E;D;E;F#m;D;E;F#m;D;E;A;C#m;F#m;D;E;A5;C#5;E5;A5;C#5;E5;A5;C#5;E5;A5;C#5;E5;A5;C#5;E5;D5;E5;F#m;D5;E5;F#m;D5;E5;A5;B5;C#5;D5;E5;A5;D5;A5;E5;A5;D5;A5;E5;A;D;A;E;A;A;C#m;D;E;E;E;A;C#m;D;E
engenheiros-do-hawaii,o-papa-pop,C,F/A;C/G;Bb/F;C/G;Bb/F;F/A;C/G;Bb/F;C/G;Bb/F;F/A;C/G;Bb/F;C/G;F/A;C/G;Bb/F;C/G;Bb;C;E;F/A;C/G;Bb/F;C/G;Bb/F;F/A;C/G;Bb/F;C/G;Bb/F;F/A;C/G;Bb/F;C/G;F/A;C/G;Bb/F;C/G;Bb;C;Bb;C;Dm;G;Bb/F;C/G;Dm;G;Bb/F;C/G;Dm;F/A;C/G;Bb/F;F/A;C/G;Bb/F;F/A;C/G;Bb/F;C/G;Bb;C;Bb;C;Dm;G;Bb/F;C/G;Dm;G;Bb/F;C/G;Dm;Bb;Dm;G;Bb/F;C/G;Dm;G;Bb/F;C/G;Dm;Dm;G;Bb/F;C/G;Dm;G;Bb;Dm;Dm
engenheiros-do-hawaii,piano-bar,E,E;B;G#;C#m;E;A;G#m;C#m;F#m;B7;E;E;B;G#;C#m;E;A;G#m;C#m;F#m;B4(9);B;G#m;C#m;F#m;B4;B;E;B;G#;C#m;E;A;G#m;C#m;F#m;B4(9);B;E;B;G#;C#m;E;A;G#m;C#m;F#m;B4(9);B;E;B;G#;C#m;E;A;G#m;C#m;F#m;B4(9);B;E;B;G#;C#m;E;A;G#m;C#m;F#m;B;C#m;C#m;F#m7;G#7;C#m;F#m7;G#7;E;B;G#;C#m;E;A;G#m;C#m;F#m;B;E;B;G#;C#m;E;A;G#m;C#m;F#m;B;Cº;C#m;F#m;G#;C#m;F#m;G#;C#m;F#m;G#;C#m;F#m;G#;C#m;F#m;G#;C#m;F#m;G#;C#m;F#m;G#;C#m;F#m;G#;C#m;C#m7;C7M(5+);E/B;Bbm7(5-);F#m;G#;C#m;F#m;G#;C#m;F#m;G#;C#m;F#m;G#;C#m
engenheiros-do-hawaii,pra-ser-sincero,D,D;G;A;Bm;G;A;D;G;A;Bm;G;A;G;A;Bm;G;A;D;G;A;Bm;G;A;Bm;G;A;D;Bm;A;Bm;Bm;A;Bm;Bm;A;G;F#m;Em;F#;E;D;G;A;Bm;G;A;G;A;Bm;G;A;D;G;A;Bm;G;A;Bm;G;A;D;Bm;G;Bm;G;Bm;G;Bm;G;A;Bm;A;Bm;Bm;A;Bm;Bm;A;G;F#m;Em;F#;E
engenheiros-do-hawaii,refrao-de-bolero,D,G;A;Bm;F#m;G;E/G#;A;A#°;Bm;F#m;G;E/G#;A;A#°;Bm;F#m;G;E/G#;A;A#°;Bm;F#m;G;E/G#;A;A#°;Bm;F#m;G;A;Bm;F#m;G;A;Bm;F#m;G;A;Bm;G;A;Bm;F#m;G;A;Bm;F#m;G;E/G#;A;A#°;Bm;F#m;G;E/G#;A;A#°;G;A;Bm;G;A;Bm;G;A;Bm;G;A;Bm;F#m;G;A;G;A;Bm;G;A;Bm;G;A;Bm;G;A;Bm;G;A;Bm;G;A;Bm;G;A;Bm;G;A;Bm;F#m;G;A;Bm
engenheiros-do-hawaii,somos-quem-podemos-ser,G,G7M;C7M;G7M;C7M;G7M;C7M;G7M;C7M;G7M;C7M;G7M;C7M;Bm7;C7M;Bm7;C7M;Am7;Bm7;Am7;Bm7;C7M;G7M;C7M;G7M;C7M;G7M;C7M;G7M;C7M;G7M;C7M;Bm7;C7M;Bm7;C7M;Am7;Bm7;Am7;Bm7;C7M;G7M;C7M;Bm7;C7M;Am7;Bm7;C7M;D4(7/9);G7M;C7M;Bm7;C7M;Bm7;C7M;Am7;Bm7;C7M;D4(7/9);G7M;C7M;G7M;C7M;Bm7;C7M;Bm7;C7M;Bm7;C7M;Bm7;C7M;Am7;Bm7;Am7;Bm7;C7M;G7M;G7M;C7M;G7M;C7M;Bm7;C7M;Bm7;C7M(9);Am7;Bm7;Am7;Bm7;C7M;Am7;Bm7;Am7;Bm7;C7M
engenheiros-do-hawaii,terra-de-gigantes,E,E;E;B/D#;C#m;Ab/C;A;E/G#;A5(9);B5(9);E;B/D#;C#m;Ab/C;A;E/G#;A5(9);B11;E;B/D#;C#m;Ab/C;A;E/G#;A5(9);B11;E;B/D#;C#m;Ab/C;A;E/G#;A5(9);B11;E;B/D#;C#m;Ab/C;A;E/G#;A5(9);B11;F#7(11);E;F#7(11);E;F#7(11);A5(9);B5(9);E;C#;E;C#;E;B/D#;C#m;Ab/C;A;E/G#;A5(9);B11;E;B/D#;C#m;Ab/C;A;E/G#;A5(9);B11;F#7(11);E;F#7(11);E;F#7(11);A5(9);B5(9);E;C#;E;C#;E;B/D#;C#m;Ab/C;A;E/G#;A5(9);B11;E;B/D#;C#m;Ab/C;A;E/G#;A5(9);B11;E;B/D#;C#m;Ab/C;A;E/G#;A5(9);B11;E;B/D#;C#m;Ab/C;A;E/G#;A5(9);B11;F#7(11);E;F#7(11);E;F#7(11);A5(9);B5(9);E;C#;E;C#;F#7(11);E;F#7(11);E;F#7(11);A5(9);B5(9);E;C#;E;C#
eric-clapton,tears-in-heaven,G,A;E/G#;F#m;A/E;D/F#;E7(4);E7;A;E/G#;F#m;A/E;D/F#;E7(4);E7;A;A;E/G#;F#m;A/E;D/F#;A/E;E;A/E;E7;A;E/G#;F#m;A/E;D/F#;A/E;E;A/E;E7;A;E/G#;F#m;D/F#;A/E;E;A/E;E7;A;E/G#;F#m;D/F#;A/E;E;A/E;E7;F#m;Db/F;A7/E;F#7;Bm7;E7(4);F#m;Db/F;A7/E;F#7;Bm7;E7(4);A;E/G#;F#m;D/F#;E7(4);E7;A;A;E/G#;F#m;A/E;D/F#;A/E;E;A/E;E7;A;E/G#;F#m;A/E;D/F#;A/E;E;A/E;E7;F#m;Db/F;A7/E;F#7;Bm7;E7(4);C;G/B;Am7;D/F#;G;D/F#;Em7;D/F#;G;C;G/B;Am7;D/F#;G;D/F#;E;C;G/B;Am7;D/F#;G;D/F#;Em7;D/F#;G;C;G/B;Am7;D/F#;G;D/F#;E;A;E/G#;F#m;A/E;D/F#;A/E;E;A/E;E7;F#m;Db/F;A7/E;F#7;Bm7;E7(4);A;E/G#;F#m;A/E;D/F#;A/E;E;A/E;E7;A;E/G#;F#m;A/E;D/F#;A/E;E;A/E;E7;F#m;Db/F;A7/E;F#7;Bm7;E7(4);A;E/G#;F#m;A/E;Bm7;E7(4);A;E/G#;F#m;D/F#;E7(4);E7;A;A;E/G#;F#m;A/E;Bm7;E7(4);A;E/G#;F#m;D/F#;E7(4);E7;A
evanescence,my-immortal,A,A;C#m;A9;C#m;A;C#m;A9;C#m;A;C#m;A9;C#m;F#m;A;C#m;A9;C#m;A;C#m;A9;C#m;F#m;C#m;F#m;C#m;F#m;C#m;E;F#m;D;E;C#m;F#m;D;E;C#m;F#m;D;E;C#m;F#m;D;E;A;C#m;A9;C#m;F#m;A;C#m;A9;C#m;A;C#m;A9;C#m;F#m;C#m;F#m;C#m;F#m;C#m;E;F#m;D;E;C#m;F#m;D;E;C#m;F#m;D;E;C#m;F#m;D;E;D;F#m;E;D;Bm;E/C#;D;E;F#m;D;E;C#m;F#m;D;E;C#m;F#m;D;E;C#m;F#m;D;E;C#m;F#m;D;E;C#m;F#m;D;E;A;C#m;A9;C#m;A;C#m;A9;C#m
exaltasamba-musicas,40o-de-amor,C,C6/9;Fm;Eb7+;Dm5/7-;Fm;Bb7;Fm;Bb7;C6/9;G/B;Am;G711;C6/9;Fm;G711;C6/9;G/B;Am;G711;Dm;Em;Fm;Bb7;Ab7+;Dm5/7-;G713;C6/9;G/B;Fm;Bb7;Ab7+;Dm5/7-;Dm;G711;G7/9;C6/9;G/B;Em5/7-;A7;Dm;Dm7+;G7/9;G7;C6/9;G/B;Em5/7-;A7;Dm;Dm7+;G7/9;G7
exaltasamba-musicas,abandonado,A,D7+;A7+;A6;A7+;A6;A7+;A6;Dm6;A7+;A6;C#m7/5-;F#7/4;F#7;Bm7;E7/4/9;C#m7/5-;C#m7/5-;F#7/4;F#7;Bm7;C#m7;D7+;E7/4/9;A7+;A6;Dm6;A7+;A6;C#m7/5-;F#7/4;F#7;Bm7;E7/4/9;C#m7/5-;C#m7/5-;F#7/4;F#7;Bm7;C#m7;D7+;E7/4/9;D7+;Db7+;D7+;A7+;A6;A7+;A6;D7+;Db7+;D7+;A7+;A6;A7+;A6;D7+;A7+;A6;A7+;A6;A7+;A6;Dm6;A7+
exaltasamba-musicas,anjo-meu,C,A7+;A6;Dm;G7;C;C7/9/F#;F7+;E7/9;A7+;A6;Dm;G7;C;C7/9/F#;F7+;Em7;Dm7;Em7;F7+;A7+;A6;F7+;E7/13;A7+;A6;Dm7;G7;C7+;C7/9/F#;F7+;A7+;G#m7/5-;C#7/9;F#m;B7/9;Em7;A7;F7+;F6;Bm7/-5;E7/9;A7+;G#m7/5-;C#7/9;F#m;B7/9;Em;A7;F7+;F6;Bm7/-5;E7/9
exaltasamba-musicas,armadilha,D,D;Em7;A7;F#m7;Bm;Em7;A7;B7/9;Em7;A7;F#m7;Bm;Em7;A7;D;Bm;Em7;A7;F#m7;Bm;Em7;A7;D;Bm;Em7;A7;F#m7;Bm;Em7;A7;D;Bm;Em7;A7;D;Bm;Em7;A7;D;Bm;Em7;A7;D;Bm;Em7;A7;D
exaltasamba-musicas,carona-do-amor,F,F;F7+;Bbm6;F7+;Bbm6;Am7;Gm7;Gb;F7+;Bbm7;F7+;Bbm6;Am7;Gm7;Gb;F7+;F7+;Bb7+;Am7;Dm7;Ab7+;Ab6;F7+;Cm7;F7;Bb7+;Am7;Dm7;Ab7+;Ab6;F7+;A7;Dm7;Am7;Bb7+;Gm7;Am7;Bbm7;F7+;A7;Dm7;Am7;Bb7+;Gm7;Am7;Bbm7;F7+;Bbm6;Am7;Gm7;Gb;F7+;Am7;Bb7+;F;Am/E;Gm;D7;Bbm6;F7+;Dm7;Gm7;C7;F;Am/E;Gm;D7;Gm7;Am7;Bbm7;F7+;Bbm6;Am7;Gm7;Gb;F7+
exaltasamba-musicas,ceu-fe,D,Gm7/9;A/B;Cm7/9;Dm7/9;Gm7/9;Dm7/9;Gm7/9;Dm7/9;Gm7/9;Dm7/9;Gm7/9;G/A;Dm7/9;Gm7/9;G/A;Dm7/9;Gm7/9;G/A;Dm7/9;Gm7/9;B9;F#m7/11;Cm7/9;G/A;Dm7/9;Gm7/9;B9;F#m7/11;Cm7/9;G/A;Gm7/9;A/B;G/A;Dm7/9;Dm7/9;Bm7;Em7;G/A
